Id,Name,Type,Price,Metacritic,Recommendations,Year,Playtime,AchievCount,AchievDone,Icon,Logo
48190,Assassin's Creed Brotherhood,game,1499,88,6169,2011,62,0,0,6a87d0b61e45e8075decd1f8ace549300b036a52,00991d5d48183ce4148617ff0fe9db2fabda346b
92800,SpaceChem,game,999,84,1738,2011,0,20,0,29b26fc0eb22ebbeeeed1e4658dcbc6b837279c7,5ffbf030cd3e3af293e0509df7be6f9b2a159ca8
91600,Sanctum,game,999,70,1632,2011,0,100,0,fb131c31ed4dc33421dac1f805aaef337b03567c,d63198590c7bab5a332327a54f8ed0a00ac4b0d3
95300,Capsized,game,999,80,472,2011,119,18,5,d89b6b69c1b57bae98710d574698ffbc4445e68d,4ed97f9c05ae4e0351dd5191f907adf5ddb1d356
620,Portal 2,game,819,95,93541,2011,1852,51,49,2e478fc6874d06ae5baf0d147f6f21203291aa02,d2a1119ddc202fab81d9b87048f495cbd6377502
96000,The Tiny Bang Story,game,499,63,2353,2011,0,0,0,190760c7966fda0b4be9605de836e031f448fc49,c60488f764e2b91f3a53ac12a123a527a63dca2a
105600,Terraria,game,999,83,179198,2011,0,88,0,858961e95fbf869f136e1770d586e0caefd4cfac,783399da7d865b7b5b1560891b1e9463345e8fa9
20920,The Witcher 2: Assassins of Kings Enhanced Edition,game,1999,88,32943,2012,0,52,0,62dd5c627664df1bcabc47727c7dcd7ccab353e9,f0274a91931ed39f7c69dca9f907ceae6450785c
98200,Frozen Synapse,game,2299,85,972,2011,0,16,0,646297e1b481ae0e57c4597452fb45ff9ce16989,3b20447980b019783a4e37893660d1ce54893699
94200,Jamestown,game,999,81,532,2011,355,42,18,fc71d80266e726c2ddd946fea19b386947bf679c,7a4178ca9546cef28ebb78c5889a01181c2b4e93
7600,Sid Meier's Railroads!,game,999,77,1075,2007,33,0,0,7cb5ba1c947e0fdc2b3b8ecbf8e4fa1cfa142267,ec10b382e45fe3bd132b773dc4c7701fc2ffd468
105300,Critical Mass,game,199,81,247,2011,84,27,3,635ef5756892b58c93f436452ab61f7447373acd,18a7a412b1356bbb907ad3deb22ea5104cbbbbab
17470,Dead Space,game,1499,86,6779,2009,0,0,0,45e682594687a6c92037631225340d26c783362f,01400b8d7847c309e5d47d7ceb3f885f47247501
47780,Dead Space 2,game,1499,87,7277,2011,0,0,0,6393351676edc4fdc65937a599780818fd2f18b7,38cb9890ddd639a066bf480e3f098e1b92af2376
107300,Breath of Death VII ,game,199,,1032,2011,0,0,0,26685ef54eb9d6220dfba280542917fc24f5ecab,252cb9c5b020cf81df91f6fe472f29c017e863fb
107310,Cthulhu Saves the World ,game,199,78,2603,2011,0,0,0,dd3f023ea459f8fedf927a5255523b7fc9ba6ad2,c21721fb881d5548bd9e9693d9c35d41f2565715
22230,Rock of Ages,game,999,74,2212,2011,0,19,0,775c7ad571b7571aec5a85235759fbc2baa12eee,4df41d2c1847cf8cba4d9603ff1e36a5a9b77fc9
55150,Warhammer 40,000: Space Marine,game,1999,74,4812,2011,0,60,0,46b0ce6e587472d1d56cc88dd32c8b57392f8b10,c18d0776e4b1db78c57e66b5bd7ba74b5927816a
96100,Defy Gravity,game,99,,7020,2016,135,8,4,fa26f1090915f4248bdabe9c99e3d51113fb6e3f,1533e9bf83bfd47553791f9b60500d33e8364d38
2210,Quake 4,game,1499,81,770,2011,0,0,0,ecbd9d78b949ba6875c4adfc77ca4aab343ec858,97d0315df83887ab8cd526c803ca8ba893eb34a6
107100,Bastion,game,1249,86,20181,2011,609,24,9,8377b4460f19465c261673f76f2656bdb3288273,d113d66ef88069d7d35a74cfaf2e2ee917f61133
